name,description,No.,the_geom,CODIGO,LATITUD,LONGITUD,ESTADO,unnamed (1),unnamed (2)
CALLE 72 CON CARRERA 59 BARRANQUILLA,No.: 208<br>CODIGO: 7258<br>LATITUD: 11.0018507<br>LONGITUD: -74.7976397<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,208,POINT (-74.7976397 11.0018507),7258,11.0018507,-74.7976397,Funcionando,,
CALLE 72 CON CARRERAS 48 BARRANQUILLA,No.: 209<br>CODIGO: 7248<br>LATITUD: 10.9957798<br>LONGITUD: -74.8046761<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,209,POINT (-74.8046761 10.9957798),7248,10.9957798,-74.8046761,Funcionando,,
CALLE 72 CON VIA 40 BARRANQUILLA,No.: 210<br>CODIGO: 2285<br>LATITUD: 11.007878<br>LONGITUD: -74.7903859<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,210,POINT (-74.7903859 11.007878),2285,11.007878,-74.7903859,Funcionando,,
CALLE 74 CON CARRERA 39 BARRANQUILLA,No.: 211<br>CODIGO: 7439<br>LATITUD: 10.9887214<br>LONGITUD: -74.8118419<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,211,POINT (-74.8118419 10.9887214),7439,10.9887214,-74.8118419,Funcionando,,
CALLE 74 CON CARRERA 42F BARRANQUILLA,No.: 212<br>CODIGO: 1358<br>LATITUD: 10.9925952<br>LONGITUD: -74.8095309<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,212,POINT (-74.8095309 10.9925952),1358,10.9925952,-74.8095309,Funcionando,,
CALLE 74 CON CARRERA 43 BARRANQUILLA,No.: 213<br>CODIGO: 1358<br>LATITUD: 10.9929092<br>LONGITUD: -74.8093518<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,213,POINT (-74.8093518 10.9929092),1358,10.9929092,-74.8093518,Funcionando,,
CALLE 74 CON CARRERA 44 BARRANQUILLA,No.: 214<br>CODIGO: 1358<br>LATITUD: 10.9938169<br>LONGITUD: -74.8087984<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,214,POINT (-74.8087984 10.9938169),1358,10.9938169,-74.8087984,Funcionando,,
CALLE 74 CON CARRERA 46 BARRANQUILLA,No.: 215<br>CODIGO: 7446<br>LATITUD: 10.9955138<br>LONGITUD: -74.8077912<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,215,POINT (-74.8077912 10.9955138),7446,10.9955138,-74.8077912,Funcionando,,
CALLE 74 CON CARRERA 47 BARRANQUILLA,No.: 216<br>CODIGO: 7446<br>LATITUD: 10.9963343<br>LONGITUD: -74.8070974<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,216,POINT (-74.8070974 10.9963343),7446,10.9963343,-74.8070974,Funcionando,,
CALLE 74 CON CARRERA 48 BARRANQUILLA,No.: 217<br>CODIGO: 7448<br>LATITUD: 10.9969606<br>LONGITUD: -74.8065511<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,217,POINT (-74.8065511 10.9969606),7448,10.9969606,-74.8065511,Funcionando,,
CALLE 74 CON CARRERA 50 BARRANQUILLA,No.: 218<br>CODIGO: 7450<br>LATITUD: 10.998793<br>LONGITUD: -74.805036<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,218,POINT (-74.805036 10.998793),7450,10.998793,-74.805036,Funcionando,,
CALLE 74 CON CARRERA 52 BARRANQUILLA,No.: 219<br>CODIGO: 1255<br>LATITUD: 10.9992924<br>LONGITUD: -74.8043755<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,219,POINT (-74.8043755 10.9992924),1255,10.9992924,-74.8043755,Funcionando,,
CALLE 74 CON CARRERA 53 BARRANQUILLA,No.: 220<br>CODIGO: 1255<br>LATITUD: 10.9998159<br>LONGITUD: -74.8035836<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,220,POINT (-74.8035836 10.9998159),1255,10.9998159,-74.8035836,Funcionando,,
CALLE 74 CON CARRERA 54 BARRANQUILLA,No.: 221<br>CODIGO: 1255<br>LATITUD: 11.0004595<br>LONGITUD: -74.8027444<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,221,POINT (-74.8027444 11.0004595),1255,11.0004595,-74.8027444,Funcionando,,
CALLE 74 CON CARRERA 58 BARRANQUILLA,No.: 222<br>CODIGO: 1257<br>LATITUD: 11.0027688<br>LONGITUD: -74.7995166<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,222,POINT (-74.7995166 11.0027688),1257,11.0027688,-74.7995166,Funcionando,,
CALLE 75 CON CARRERA 26C7 BARRANQUILLA,No.: 223<br>CODIGO: 2315<br>LATITUD: 10.9793537<br>LONGITUD: -74.8159736<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,223,POINT (-74.8159736 10.9793537),2315,10.9793537,-74.8159736,Funcionando,,
CALLE 75 CON CARRERA 50 BARRANQUILLA,No.: 224<br>CODIGO: 7950<br>LATITUD: 11.000179<br>LONGITUD: -74.806188<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,224,POINT (-74.806188 11.000179),7950,11.000179,-74.806188,Funcionando,,
CALLE 75 CON CARRERA 52 BARRANQUILLA,No.: 225<br>CODIGO: 1254<br>LATITUD: 11.0007269<br>LONGITUD: -74.8054417<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,225,POINT (-74.8054417 11.0007269),1254,11.0007269,-74.8054417,Funcionando,,
CALLE 75 CON CARRERA 53 BARRANQUILLA,No.: 226<br>CODIGO: 1254<br>LATITUD: 11.0012798<br>LONGITUD: -74.8046848<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,226,POINT (-74.8046848 11.0012798),1254,11.0012798,-74.8046848,Funcionando,,
CALLE 75 CON CARRERA 54 BARRANQUILLA,No.: 227<br>CODIGO: 1254<br>LATITUD: 11.0018994<br>LONGITUD: -74.8038221<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,227,POINT (-74.8038221 11.0018994),1254,11.0018994,-74.8038221,Funcionando,,
CALLE 75 CON CARRERA 58 BARRANQUILLA,No.: 228<br>CODIGO: 1257<br>LATITUD: 11.0042019<br>LONGITUD: -74.8005923<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,228,POINT (-74.8005923 11.0042019),1257,11.0042019,-74.8005923,Funcionando,,
CALLE 76 CON CARRERA 42 BARRANQUILLA,No.: 229<br>CODIGO: 7642<br>LATITUD: 10.9923109<br>LONGITUD: -74.8136587<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,229,POINT (-74.8136587 10.9923109),7642,10.9923109,-74.8136587,Funcionando,,
CALLE 76 CON CARRERA 38 BARRANQUILLA,No.: 230<br>CODIGO: 1323<br>LATITUD: 10.9866404<br>LONGITUD: -74.8162356<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,230,POINT (-74.8162356 10.9866404),1323,10.9866404,-74.8162356,Funcionando,,
CALLE 76 CON CARRERA 42F BARRANQUILLA,No.: 231<br>CODIGO: 2351<br>LATITUD: 10.9936627<br>LONGITUD: -74.8135302<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,231,POINT (-74.8135302 10.9936627),2351,10.9936627,-74.8135302,Funcionando,,
CALLE 76 CON CARRERA 43 BARRANQUILLA,No.: 232<br>CODIGO: 1356<br>LATITUD: 10.9942397<br>LONGITUD: -74.811597<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,232,POINT (-74.811597 10.9942397),1356,10.9942397,-74.811597,Funcionando,,
CALLE 76 CON CARRERA 44 BARRANQUILLA,No.: 233<br>CODIGO: 1356<br>LATITUD: 10.9953433<br>LONGITUD: -74.8109259<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,233,POINT (-74.8109259 10.9953433),1356,10.9953433,-74.8109259,Funcionando,,
CALLE 76 CON CARRERA 46 BARRANQUILLA,No.: 234<br>CODIGO: 1356<br>LATITUD: 10.9968087<br>LONGITUD: -74.8100681<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,234,POINT (-74.8100681 10.9968087),1356,10.9968087,-74.8100681,Funcionando,,
CALLE 76 CON CARRERA 47 BARRANQUILLA,No.: 235<br>CODIGO: 1357<br>LATITUD: 10.9974724<br>LONGITUD: -74.8096969<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,235,POINT (-74.8096969 10.9974724),1357,10.9974724,-74.8096969,Funcionando,,
CALLE 76 CON CARRERA 48 BARRANQUILLA,No.: 236<br>CODIGO: 7648<br>LATITUD: 10.9982136<br>LONGITUD: -74.809253<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,236,POINT (-74.809253 10.9982136),7648,10.9982136,-74.809253,Funcionando,,
CALLE 76 CON CARRERA 49C BARRANQUILLA,No.: 237<br>CODIGO: 1248<br>LATITUD: 10.9998393<br>LONGITUD: -74.8085037<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,237,POINT (-74.8085037 10.9998393),1248,10.9998393,-74.8085037,Funcionando,,
CALLE 76 CON CARRERA 50 BARRANQUILLA,No.: 238<br>CODIGO: 7650<br>LATITUD: 11.000500<br>LONGITUD: -74.808201<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,238,POINT (-74.808201 11.0005),7650,11.0005,-74.808201,Funcionando,,
CALLE 76 CON CARRERA 51 BARRANQUILLA,No.: 239<br>CODIGO: 7650<br>LATITUD: 11.001162<br>LONGITUD: -74.807782<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,239,POINT (-74.807782 11.001162),7650,11.001162,-74.807782,Funcionando,,
